headline,status,founded,dateOfInvestment,management,location,segment,investment,investmentType,website,Description,id,contentType,businessModel,subheadline,exit
VOI,Active,2018,2019-03-01T00:00+01:00,"Fredrik Hjelm
Douglas Stark
Adam Jafer
Filip Lindvall",Stockholm (Sweden),Mobility & Logistics,Series A,VC,https://www.voiscooters.com,"Voi is a Swedish e-scooter startup creating a system of electrically powered scooters around urban centers. The company's goal is to provide an affordable, sustainable, and exhilarating way to commute while helping people to reduce their carbon footprint and cities to have a more sustainable transportation network.",2P4m7tWFH2QDhpStbYvCjq,venture,B2C,Shared electric scooters for Europe’s streets,Read 
Dixa,Active,2015,2019-02-01T00:00+01:00,Mads Fosselius,Copenhagen (Denmark),Business Software,Series A,VC,https://dixa.com,"Dixa is a customer engagement platform that creates value for brands and customers in a conversational, friendly, and engaging way called Customer Friendship™. Established in Copenhagen, Denmark in 2015, Dixa was founded on the principle that there must be a better way to do customer service, one that allowed the creation of value-driven experiences for customers as well as empowered agents to do more than ticketing for the business. In February of 2021, the company acquired the Australian knowledge platform startup, Elevio to empower agents as well as customers with AI-optimized knowledge base and contextual experiences. ",5AHygHtWAryterEZwyeOEA,venture,SaaS,The customer friendship platform,"Dixa has expanded globally within the first years since launch and now has offices in Copenhagen, London, New York, Berlin, Kyiv, Tel Aviv and Melbourne. The company doubled its revenues YoY, and has raised more than $155 million in funding to date with backing from Notion Capital, Project A Ventures, SEED Capital and recently from General Atlantic."
Casavo,Active,2017,2019-02-01T00:00+01:00,Giorgio Tinacci,Milan (Italy),Real Estate & Construction,Series A,VC,https://www.casavo.com/,"Casavo is a Proptech startup operating in the real estate sector that developed an innovative and unique business model: a technological platform (Instant Buyer) that submits offers to buy homes to sellers, and after renovation finds the final buyers. Founded in Milan in 2017
by Giorgio Tinacci, Casavo has the mission to change the way people sell, live and buy homes in Europe. The company has handled more than 1100 real estate transactions to date for a total value in excess of €300 million. With a team of 200 people, Casavo is currently
operating in Milan, Rome, Turin, Florence, Bologna, Verona, and Madrid. With its core being the Instant Buyer service, Casavo has further expanded its marketplace product offer to cover all the needs of sellers, buyers and brokers.",3cjWJWL5VzF2nrqra2HURS,venture,B2C,First Italian iBuyer - sell your home within 30 days!,Read why we invested in Casavo 
micropsi industries,Active,2014,2018-11-01T00:00+01:00,"Dominik Welland
Priska Herger
Ronnie Vuine",Berlin (Germany),Manufacturing & Industry 4.0,Series A,VC,https://www.micropsi-industries.com/,"A robotics software company headquartered in Germany, micropsi industries is driving the future of industrial automation. Its unique control system, Mirai, applies artificial intelligence technologies to create flexible, real- time controlled robotic applications for use in dynamic environments and execute complex tasks. Mirai learns by rehearsing movements from humans guiding the robot and trains them within hours vs. days of creating complicated programming that other systems require. Its technology is designed for global electronics assembly and manufacturing industries and works with hardware platforms such as ABB and Universal Robots. To learn more, please visit micropsi-industries.com.",l3kkxic0MR7Uua1UtgqdK,venture,B2B - Enterprise,Machine learning for industrial robots,NaN
trendtours,Active,2004,2018-10-01T00:00+01:00,"David Firle
Christian Holz
Markus Daldrup",Frankfurt (Germany),Travel & Hospitality,Succession Arrangement,PE Co-Investment,https://www.trendtours.de/,"trendtours is one of the leading German direct tour operators.
The company offers air, bus and boat trips as well as cure, adventure and recreational holidays and caters to an older target group aged 55 and above. So far these offers are used by approximately 400,000 customers per year. Project A, together with Bregal, invested and thus arranged the succession of the founder Werner Scheidel. As an operative co-investor, Project A will support the business of trendtours especially in the digital transformation of the company.",mjnUXfWXqEKBWit6eu2F7,venture,B2C,Travelling done right for best agers,NaN
AZOWO,Active,2015,2018-06-01T00:00+01:00,"Albert Pescheck
Peter Jegutzki
Patric Schneider",Biberach (Germany),Mobility & Logistics,Seed,VC,https://www.azowo.com/en,"AZOWO provides a B2B mobility platform to manage and optimize vehicle fleets. With its flexible, cloud-based fleet management software and mobility sharing solution, AZOWO enables efficient management and effective optimization of fleets and vehicle pools. The solution provides the highest data transparency, automated processes, and sound statistics and reports. AZOWO, which headquartered in Biberach (Germany), has been founded in 2015 by Peter Jegutzki, Andreas Kopf, and Patric Schneider.",4iTm6813xYHKzTfuKRIynU,venture,B2B - Enterprise,The mobility platform for fleet management and mobility sharing,NaN
Sennder,Active,2015,2018-05-01T00:00+01:00,"Julius Köhler
David Nothacker
Nicolaus Schefenacker",Berlin (Germany),Mobility & Logistics,Seed,VC,https://www.sennder.com,"sennder GmbH is a digital road-freight-forwarder, headquartered in Berlin. The company connects shippers with carriers through an inhouse developed platform. Offering its partners a 360° full service, sennder’s software provides real time bookings as well as precise live tracking, resulting in greater transparency of the logistics supply chain. sennder was founded in 2015 by Nicolaus Schefenacker, David Nothacker, and Julius Köhler.",3AflN4goSu5XvOOYSZVWHa,venture,B2B - Enterprise,Logistics for full truck loads,NaN
Artisense,Exited,2015,2018-03-01T00:00+01:00,"Dr. Daniel Cremers
Till Kaestner
Andrej Kulikov","Munich (Germany)
Palo Alto (USA)
Tokyo (Japan)",Mobility & Logistics,Seed,VC,https://www.artisense.ai,"Founded by renowned researchers, industry experts, and company builders, Artisense develops AI-based computer vision solutions for vehicle automation and robotics. Based on dynamic 3D maps, which are combined in an Internet of Vehicles, Artisense’s technology enables navigation of autonomous vehicles without GPS or expensive sensors and hardware. As a spin-off of the chair of Prof. Daniel Cremers of the Technical University of Munich, Artisense builds on 10 years of research and cooperation with leading OEM, T1, and technology companies.",2mWBFJFhzB6C3HZ4aAhiTW,venture,B2B - Enterprise,Second to none in AI powered computer vision,NaN
Aula,Active,2016,2018-03-01T00:00+01:00,Anders Krohn,London (UK),Education,Seed,VC,https://aula.education/,"Aula is a communication platform built for education that replaces emails and learning management systems (e.g. Moodle, Canvas, Blackboard, D2L) with digital infrastructure designed to encourage interaction and engagement. Aula was founded at the University of Oxford by Anders Krohn, Oliver Nicolini and Adrian Franklin who were driven to build Aula based on their experiences as students at universities across the globe. The institutional version of Aula was launched in September 2017 and early adopter universities include Ravensbourne, the University of Nottingham, the Royal College of Art and the University of Derby. Aula brings together students, staff, and educators — think of it as an institution’s digital campus.",2fwXhGcj0P5EgWY7icyKl5,venture,B2B - SMB,Digital infrastructure for education,NaN
Peergrade,Active,2015,2018-01-01T00:00+01:00,"David Kofoed Wind
Malthe Jørgensen
Simon Lind",Copenhagen (Denmark),Education,Seed,VC,https://www.peergrade.io/,"Peergrade is an EdTech startup that gives students a better learning experience with faster and more thorough feedback from their peers. Peer grading offers a way to dramatically reduce the time teachers spent on grading while increasing the quantity of the feedback. Students hand in their work and give feedback to each other. This way students get much more feedback without extra work for the teachers.Through their platform teachers can also get insights into student performance over time based on data. Most importantly, reading and providing feedback on other's assignments is an excellent learning opportunity.Based in Copenhagen, Peergrade was founded in 2015 by David Kofoed Wind, Malthe Jørgensen, and Simon Lind.",6H9TlJwhyDj2lFj4DJNxg5,venture,B2B - SMB,Learn by giving feedback,NaN
